model,ffr_c0,ffr_c2,spi_c2,ffr_c3,spi_c3,ffr_c4,few_shot_improvement_c3_minus_c4
LiquidAI/LFM2-350M-Extract@robust-r1,0.0,,,0.6966666666666667,0.6966666666666667,,
LiquidAI/LFM2-350M-Extract@robust-r2,0.0,,,0.695,0.695,,
LiquidAI/LFM2-350M-Extract@robust-r3,0.0,,,0.6866666666666666,0.6866666666666666,,
LiquidAI/LFM2.5-230M@robust-r1,0.7483333333333333,,,0.22166666666666668,-0.5266666666666666,,
LiquidAI/LFM2.5-230M@robust-r2,0.7483333333333333,,,0.23,-0.5183333333333333,,
LiquidAI/LFM2.5-230M@robust-r3,0.7483333333333333,,,0.23833333333333334,-0.51,,
LiquidAI/LFM2.5-350M@robust-r1,0.7216666666666667,,,0.7233333333333334,0.0016666666666667052,,
LiquidAI/LFM2.5-350M@robust-r2,0.7266666666666667,,,0.7216666666666667,-0.0050000000000000044,,
LiquidAI/LFM2.5-350M@robust-r3,0.72,,,0.7183333333333334,-0.0016666666666665941,,
Qwen/Qwen3-0.6B@robust-r1,0.21666666666666667,,,0.06833333333333333,-0.14833333333333334,,
Qwen/Qwen3-0.6B@robust-r2,0.22,,,0.075,-0.14500000000000002,,
Qwen/Qwen3-0.6B@robust-r3,0.22166666666666668,,,0.07333333333333333,-0.14833333333333334,,
Qwen/Qwen3.5-0.8B@robust-r1,0.29833333333333334,,,0.44166666666666665,0.1433333333333333,,
Qwen/Qwen3.5-0.8B@robust-r2,0.30333333333333334,,,0.44666666666666666,0.1433333333333333,,
Qwen/Qwen3.5-0.8B@robust-r3,0.29833333333333334,,,0.455,0.15666666666666668,,
google/functiongemma-270m-it@robust-r1,0.5416666666666666,,,0.0,-0.5416666666666666,,
google/functiongemma-270m-it@robust-r2,0.53,,,0.0,-0.53,,
google/functiongemma-270m-it@robust-r3,0.53,,,0.0,-0.53,,
ibm-granite/granite-4.0-350m@robust-r1,0.6116666666666667,,,0.4683333333333333,-0.14333333333333337,,
ibm-granite/granite-4.0-350m@robust-r2,0.62,,,0.46,-0.15999999999999998,,
ibm-granite/granite-4.0-350m@robust-r3,0.6216666666666667,,,0.47333333333333333,-0.14833333333333337,,
ibm-granite/granite-4.0-h-350m@robust-r1,0.38,,,0.355,-0.025000000000000022,,
ibm-granite/granite-4.0-h-350m@robust-r2,0.365,,,0.3616666666666667,-0.0033333333333332993,,
ibm-granite/granite-4.0-h-350m@robust-r3,0.37166666666666665,,,0.3616666666666667,-0.009999999999999953,,
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,0.8683333333333333,,,0.21833333333333332,-0.6499999999999999,,
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,0.875,,,0.20666666666666667,-0.6683333333333333,,
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,0.8866666666666667,,,0.21833333333333332,-0.6683333333333334,,
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,0.095,,,0.0016666666666666668,-0.09333333333333334,,
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r2,0.09666666666666666,,,0.0,-0.09666666666666666,,
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r3,0.08833333333333333,,,0.0,-0.08833333333333333,,
