model,condition,n_outputs,json_parse_rate,schema_validity_rate,supported_accuracy,false_fill_rate,null_recall,abstention_precision,distractor_error_rate,field_faithfulness_rate,format_truth_gap
LiquidAI/LFM2-350M-Extract@robust-r1,C0,1000,,,0.0,0.0,1.0,0.12002400480096019,0.0,0.12,
LiquidAI/LFM2-350M-Extract@robust-r1,C3,1000,0.995,0.634,0.9630952380952381,0.6966666666666667,0.30333333333333334,0.7398373983739838,0.02,0.8806,-0.24660000000000004
LiquidAI/LFM2-350M-Extract@robust-r2,C0,1000,,,0.0,0.0,1.0,0.12012012012012012,0.0,0.12,
LiquidAI/LFM2-350M-Extract@robust-r2,C3,1000,0.995,0.631,0.9633333333333334,0.695,0.305,0.7261904761904762,0.01,0.8818,-0.2508
LiquidAI/LFM2-350M-Extract@robust-r3,C0,1000,,,0.0,0.0,1.0,0.12002400480096019,0.0,0.12,
LiquidAI/LFM2-350M-Extract@robust-r3,C3,1000,0.99,0.63,0.9580952380952381,0.6866666666666666,0.31333333333333335,0.6762589928057554,0.01,0.8776,-0.24760000000000004
LiquidAI/LFM2.5-230M@robust-r1,C0,1000,,,0.9795238095238096,0.7483333333333333,0.25166666666666665,0.993421052631579,0.0,0.8922,
LiquidAI/LFM2.5-230M@robust-r1,C3,1000,0.516,0.516,0.5254761904761904,0.22166666666666668,0.7783333333333333,0.1868,0.0,0.5548,-0.038799999999999946
LiquidAI/LFM2.5-230M@robust-r2,C0,1000,,,0.9773809523809524,0.7483333333333333,0.25166666666666665,1.0,0.0,0.8902,
LiquidAI/LFM2.5-230M@robust-r2,C3,1000,0.518,0.518,0.5269047619047619,0.23,0.77,0.18561671353957412,0.0,0.5548,-0.036799999999999944
LiquidAI/LFM2.5-230M@robust-r3,C0,1000,,,0.9795238095238096,0.7483333333333333,0.25166666666666665,0.993421052631579,0.0,0.8922,
LiquidAI/LFM2.5-230M@robust-r3,C3,1000,0.517,0.517,0.5238095238095238,0.23833333333333334,0.7616666666666667,0.18360787464845318,0.0,0.5518,-0.03479999999999994
LiquidAI/LFM2.5-350M@robust-r1,C0,1000,,,0.8861904761904762,0.7216666666666667,0.2783333333333333,0.9823529411764705,0.08,0.8114,
LiquidAI/LFM2.5-350M@robust-r1,C3,1000,1.0,0.999,0.9988095238095238,0.7233333333333334,0.27666666666666667,1.0,0.0,0.9122,0.08679999999999999
LiquidAI/LFM2.5-350M@robust-r2,C0,1000,,,0.8933333333333333,0.7266666666666667,0.2733333333333333,0.9761904761904762,0.07,0.8174,
LiquidAI/LFM2.5-350M@robust-r2,C3,1000,1.0,1.0,0.9988095238095238,0.7216666666666667,0.2783333333333333,1.0,0.0,0.9124,0.08760000000000001
LiquidAI/LFM2.5-350M@robust-r3,C0,1000,,,0.8895238095238095,0.72,0.28,0.9824561403508771,0.08,0.8146,
LiquidAI/LFM2.5-350M@robust-r3,C3,1000,1.0,1.0,0.9988095238095238,0.7183333333333334,0.2816666666666667,1.0,0.0,0.9128,0.08720000000000006
Qwen/Qwen3-0.6B@robust-r1,C0,1000,,,0.9416666666666667,0.21666666666666667,0.7833333333333333,0.7132018209408194,0.0,0.9246,
Qwen/Qwen3-0.6B@robust-r1,C3,1000,1.0,1.0,0.7742857142857142,0.06833333333333333,0.9316666666666666,0.3634590377113134,0.0,0.7922,0.20779999999999998
Qwen/Qwen3-0.6B@robust-r2,C0,1000,,,0.9421428571428572,0.22,0.78,0.7155963302752294,0.0,0.9242,
Qwen/Qwen3-0.6B@robust-r2,C3,1000,1.0,1.0,0.775,0.075,0.925,0.3617992177314211,0.0,0.7918,0.20820000000000005
Qwen/Qwen3-0.6B@robust-r3,C0,1000,,,0.9404761904761905,0.22166666666666668,0.7783333333333333,0.708649468892261,0.0,0.9228,
Qwen/Qwen3-0.6B@robust-r3,C3,1000,1.0,1.0,0.7761904761904762,0.07333333333333333,0.9266666666666666,0.36603028308097435,0.0,0.7946,0.20540000000000003
Qwen/Qwen3.5-0.8B@robust-r1,C0,1000,,,0.9711904761904762,0.29833333333333334,0.7016666666666667,0.9152173913043479,0.0,0.9396,
Qwen/Qwen3.5-0.8B@robust-r1,C3,1000,1.0,0.953,0.9757142857142858,0.44166666666666665,0.5583333333333333,0.9178082191780822,0.0,0.9264,0.026599999999999957
Qwen/Qwen3.5-0.8B@robust-r2,C0,1000,,,0.9692857142857143,0.30333333333333334,0.6966666666666667,0.9047619047619048,0.0,0.9372,
Qwen/Qwen3.5-0.8B@robust-r2,C3,1000,0.998,0.951,0.9730952380952381,0.44666666666666666,0.5533333333333333,0.8877005347593583,0.0,0.9236,0.02739999999999998
Qwen/Qwen3.5-0.8B@robust-r3,C0,1000,,,0.9709523809523809,0.29833333333333334,0.7016666666666667,0.9152173913043479,0.0,0.939,
Qwen/Qwen3.5-0.8B@robust-r3,C3,1000,0.998,0.951,0.975,0.455,0.545,0.8934426229508197,0.0,0.924,0.026999999999999913
google/functiongemma-270m-it@robust-r1,C0,1000,,,0.8802380952380953,0.5416666666666666,0.4583333333333333,0.44788273615635177,0.055,0.83,
google/functiongemma-270m-it@robust-r1,C3,1000,0.0,0.0,0.0,0.0,1.0,0.12,0.0,0.12,-0.12
google/functiongemma-270m-it@robust-r2,C0,1000,,,0.8845238095238095,0.53,0.47,0.4684385382059801,0.055,0.835,
google/functiongemma-270m-it@robust-r2,C3,1000,0.0,0.0,0.0,0.0,1.0,0.12,0.0,0.12,-0.12
google/functiongemma-270m-it@robust-r3,C0,1000,,,0.8816666666666667,0.53,0.47,0.4600326264274062,0.045,0.833,
google/functiongemma-270m-it@robust-r3,C3,1000,0.0,0.0,0.0,0.0,1.0,0.12,0.0,0.12,-0.12
ibm-granite/granite-4.0-350m@robust-r1,C0,1000,,,0.9376190476190476,0.6116666666666667,0.3883333333333333,0.5177777777777778,0.0,0.8734,
ibm-granite/granite-4.0-350m@robust-r1,C3,1000,0.998,0.996,0.9959523809523809,0.4683333333333333,0.5316666666666666,0.9725609756097561,0.0,0.9402,0.05579999999999996
ibm-granite/granite-4.0-350m@robust-r2,C0,1000,,,0.9421428571428572,0.62,0.38,0.5314685314685315,0.0,0.8762,
ibm-granite/granite-4.0-350m@robust-r2,C3,1000,0.998,0.993,0.9959523809523809,0.46,0.54,0.9700598802395209,0.0,0.9412,0.05179999999999996
ibm-granite/granite-4.0-350m@robust-r3,C0,1000,,,0.9426190476190476,0.6216666666666667,0.37833333333333335,0.5279069767441861,0.0,0.8766,
ibm-granite/granite-4.0-350m@robust-r3,C3,1000,0.997,0.99,0.995,0.47333333333333333,0.5266666666666666,0.9546827794561934,0.0,0.9388,0.05120000000000002
ibm-granite/granite-4.0-h-350m@robust-r1,C0,1000,,,0.9878571428571429,0.38,0.62,0.9007263922518159,0.0,0.9438,
ibm-granite/granite-4.0-h-350m@robust-r1,C3,1000,0.994,0.987,0.9404761904761905,0.355,0.645,0.6302931596091205,0.0,0.9066,0.08040000000000003
ibm-granite/granite-4.0-h-350m@robust-r2,C0,1000,,,0.9842857142857143,0.365,0.635,0.8718535469107551,0.0,0.9426,
ibm-granite/granite-4.0-h-350m@robust-r2,C3,1000,0.998,0.989,0.9404761904761905,0.3616666666666667,0.6383333333333333,0.6309719934102141,0.005,0.9054,0.08360000000000001
ibm-granite/granite-4.0-h-350m@robust-r3,C0,1000,,,0.9895238095238095,0.37166666666666665,0.6283333333333333,0.921760391198044,0.0,0.9464,
ibm-granite/granite-4.0-h-350m@robust-r3,C3,1000,0.996,0.988,0.9338095238095238,0.3616666666666667,0.6383333333333333,0.5975039001560063,0.0,0.9,0.08799999999999997
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C0,1000,,,0.6819047619047619,0.8683333333333333,0.13166666666666665,0.08681318681318681,0.0,0.616,
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C3,1000,0.687,0.686,0.254047619047619,0.21833333333333332,0.7816666666666666,0.1568561872909699,0.005,0.3196,0.36640000000000006
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C0,1000,,,0.679047619047619,0.875,0.125,0.08269018743109151,0.01,0.6132,
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C3,1000,0.672,0.672,0.23904761904761904,0.20666666666666667,0.7933333333333333,0.15555555555555556,0.01,0.307,0.36500000000000005
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C0,1000,,,0.6938095238095238,0.8866666666666667,0.11333333333333333,0.0827250608272506,0.005,0.6246,
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C3,1000,0.688,0.685,0.25595238095238093,0.21833333333333332,0.7816666666666666,0.15791245791245792,0.01,0.3202,0.36480000000000007
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C0,1000,,,0.2319047619047619,0.095,0.905,0.15176076020122975,0.005,0.3162,
