model,ffr_c0,ffr_c2,spi_c2,ffr_c3,spi_c3,ffr_c4,few_shot_improvement_c3_minus_c4
LiquidAI/LFM2.5-230M@robust-r1,,0.7433333333333333,,,,,
LiquidAI/LFM2.5-230M@robust-r2,,0.74,,,,,
LiquidAI/LFM2.5-230M@robust-r3,,0.74,,,,,
LiquidAI/LFM2.5-350M@robust-r1,,0.7766666666666666,,,,,
LiquidAI/LFM2.5-350M@robust-r2,,0.7966666666666666,,,,,
LiquidAI/LFM2.5-350M@robust-r3,,0.785,,,,,
Qwen/Qwen3-0.6B@robust-r1,,0.7083333333333334,,,,,
Qwen/Qwen3-0.6B@robust-r2,,0.705,,,,,
Qwen/Qwen3-0.6B@robust-r3,,0.7066666666666667,,,,,
Qwen/Qwen3.5-0.8B@robust-r1,,0.695,,,,,
Qwen/Qwen3.5-0.8B@robust-r2,,0.6983333333333334,,,,,
Qwen/Qwen3.5-0.8B@robust-r3,,0.7016666666666667,,,,,
ibm-granite/granite-4.0-350m@robust-r1,,0.7966666666666666,,,,,
ibm-granite/granite-4.0-350m@robust-r2,,0.795,,,,,
ibm-granite/granite-4.0-350m@robust-r3,,0.8016666666666666,,,,,
ibm-granite/granite-4.0-h-350m@robust-r1,,0.62,,,,,
ibm-granite/granite-4.0-h-350m@robust-r2,,0.6166666666666667,,,,,
ibm-granite/granite-4.0-h-350m@robust-r3,,0.6266666666666667,,,,,
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,,0.3516666666666667,,,,,
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,,0.33666666666666667,,,,,
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,,0.34833333333333333,,,,,
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,,0.023255813953488372,,,,,
