model,condition,challenge_type,false_fill_rate,null_recall,distractor_error_rate,supported_accuracy,field_faithfulness_rate
LiquidAI/LFM2.5-230M@robust-r1,C2,AMBIGUOUS,1.0,0.0,,0.97,0.776
LiquidAI/LFM2.5-230M@robust-r1,C2,CONTRADICTORY,1.0,0.0,,0.98,0.784
LiquidAI/LFM2.5-230M@robust-r1,C2,DISTRACTOR,,,0.01,0.86625,0.86
LiquidAI/LFM2.5-230M@robust-r1,C2,MISSING,0.23,0.77,,0.98,0.938
LiquidAI/LFM2.5-230M@robust-r1,C2,SUPPORTED,,,,0.98,0.98
LiquidAI/LFM2.5-230M@robust-r2,C2,AMBIGUOUS,1.0,0.0,,0.97375,0.779
LiquidAI/LFM2.5-230M@robust-r2,C2,CONTRADICTORY,0.975,0.025,,0.96625,0.778
LiquidAI/LFM2.5-230M@robust-r2,C2,DISTRACTOR,,,0.0,0.84875,0.843
LiquidAI/LFM2.5-230M@robust-r2,C2,MISSING,0.245,0.755,,0.98125,0.936
LiquidAI/LFM2.5-230M@robust-r2,C2,SUPPORTED,,,,0.982,0.982
LiquidAI/LFM2.5-230M@robust-r3,C2,AMBIGUOUS,0.995,0.005,,0.96875,0.776
LiquidAI/LFM2.5-230M@robust-r3,C2,CONTRADICTORY,0.98,0.02,,0.96375,0.775
LiquidAI/LFM2.5-230M@robust-r3,C2,DISTRACTOR,,,0.01,0.84375,0.837
LiquidAI/LFM2.5-230M@robust-r3,C2,MISSING,0.245,0.755,,0.97625,0.932
LiquidAI/LFM2.5-230M@robust-r3,C2,SUPPORTED,,,,0.983,0.983
LiquidAI/LFM2.5-350M@robust-r1,C2,AMBIGUOUS,0.98,0.02,,0.98,0.788
LiquidAI/LFM2.5-350M@robust-r1,C2,CONTRADICTORY,1.0,0.0,,0.995,0.796
LiquidAI/LFM2.5-350M@robust-r1,C2,DISTRACTOR,,,0.0,0.99875,0.999
LiquidAI/LFM2.5-350M@robust-r1,C2,MISSING,0.35,0.65,,0.99375,0.925
LiquidAI/LFM2.5-350M@robust-r1,C2,SUPPORTED,,,,1.0,1.0
LiquidAI/LFM2.5-350M@robust-r2,C2,AMBIGUOUS,0.985,0.015,,0.985,0.791
LiquidAI/LFM2.5-350M@robust-r2,C2,CONTRADICTORY,1.0,0.0,,0.995,0.796
LiquidAI/LFM2.5-350M@robust-r2,C2,DISTRACTOR,,,0.0,0.99875,0.999
LiquidAI/LFM2.5-350M@robust-r2,C2,MISSING,0.405,0.595,,0.985,0.907
LiquidAI/LFM2.5-350M@robust-r2,C2,SUPPORTED,,,,1.0,1.0
LiquidAI/LFM2.5-350M@robust-r3,C2,AMBIGUOUS,0.975,0.025,,0.975,0.785
LiquidAI/LFM2.5-350M@robust-r3,C2,CONTRADICTORY,1.0,0.0,,0.9975,0.798
LiquidAI/LFM2.5-350M@robust-r3,C2,DISTRACTOR,,,0.0,0.99875,0.999
LiquidAI/LFM2.5-350M@robust-r3,C2,MISSING,0.38,0.62,,0.99375,0.919
LiquidAI/LFM2.5-350M@robust-r3,C2,SUPPORTED,,,,1.0,1.0
Qwen/Qwen3-0.6B@robust-r1,C2,AMBIGUOUS,0.875,0.125,,0.99375,0.82
Qwen/Qwen3-0.6B@robust-r1,C2,CONTRADICTORY,1.0,0.0,,0.99625,0.797
Qwen/Qwen3-0.6B@robust-r1,C2,DISTRACTOR,,,0.0,1.0,1.0
Qwen/Qwen3-0.6B@robust-r1,C2,MISSING,0.25,0.75,,0.9975,0.948
Qwen/Qwen3-0.6B@robust-r1,C2,SUPPORTED,,,,0.998,0.998
