model,condition,n_outputs,json_parse_rate,schema_validity_rate,supported_accuracy,false_fill_rate,null_recall,abstention_precision,distractor_error_rate,field_faithfulness_rate,format_truth_gap
LiquidAI/LFM2.5-230M@robust-r1,C2,1000,0.985,0.946,0.9564285714285714,0.7433333333333333,0.25666666666666665,0.6754385964912281,0.01,0.8676,0.07839999999999991
LiquidAI/LFM2.5-230M@robust-r2,C2,1000,0.976,0.932,0.9519047619047619,0.74,0.26,0.5735294117647058,0.0,0.8636,0.06840000000000002
LiquidAI/LFM2.5-230M@robust-r3,C2,1000,0.974,0.937,0.9488095238095238,0.74,0.26,0.5571428571428572,0.01,0.8606,0.07640000000000002
LiquidAI/LFM2.5-350M@robust-r1,C2,1000,0.995,0.913,0.9938095238095238,0.7766666666666666,0.22333333333333333,0.8701298701298701,0.0,0.9016,0.011400000000000077
LiquidAI/LFM2.5-350M@robust-r2,C2,1000,0.994,0.922,0.9930952380952381,0.7966666666666666,0.20333333333333334,0.8356164383561644,0.0,0.8986,0.023400000000000087
LiquidAI/LFM2.5-350M@robust-r3,C2,1000,0.994,0.916,0.9933333333333333,0.785,0.215,0.8431372549019608,0.0,0.9002,0.015800000000000036
Qwen/Qwen3-0.6B@robust-r1,C2,1000,1.0,0.903,0.9971428571428571,0.7083333333333334,0.2916666666666667,1.0,0.0,0.9126,-0.009599999999999942
Qwen/Qwen3-0.6B@robust-r2,C2,1000,1.0,0.9,0.9971428571428571,0.705,0.295,1.0,0.0,0.913,-0.013000000000000012
Qwen/Qwen3-0.6B@robust-r3,C2,1000,1.0,0.903,0.9973809523809524,0.7066666666666667,0.29333333333333333,1.0,0.0,0.913,-0.010000000000000009
Qwen/Qwen3.5-0.8B@robust-r1,C2,1000,1.0,0.956,0.9876190476190476,0.695,0.305,1.0,0.0,0.906,0.04999999999999993
Qwen/Qwen3.5-0.8B@robust-r2,C2,1000,1.0,0.954,0.9883333333333333,0.6983333333333334,0.3016666666666667,1.0,0.0,0.906,0.04799999999999993
Qwen/Qwen3.5-0.8B@robust-r3,C2,1000,1.0,0.956,0.9895238095238095,0.7016666666666667,0.29833333333333334,1.0,0.0,0.9068,0.04919999999999991
ibm-granite/granite-4.0-350m@robust-r1,C2,1000,0.966,0.873,0.9642857142857143,0.7966666666666666,0.20333333333333334,0.4728682170542636,0.0,0.874,-0.0010000000000000009
ibm-granite/granite-4.0-350m@robust-r2,C2,1000,0.97,0.872,0.9673809523809523,0.795,0.205,0.5061728395061729,0.0,0.877,-0.0050000000000000044
ibm-granite/granite-4.0-350m@robust-r3,C2,1000,0.977,0.885,0.9742857142857143,0.8016666666666666,0.19833333333333333,0.5639810426540285,0.0,0.882,0.0030000000000000027
ibm-granite/granite-4.0-h-350m@robust-r1,C2,1000,0.98,0.913,0.9719047619047619,0.62,0.38,0.6951219512195121,0.0,0.902,0.01100000000000001
ibm-granite/granite-4.0-h-350m@robust-r2,C2,1000,0.992,0.927,0.985,0.6166666666666667,0.38333333333333336,0.8550185873605948,0.005,0.9132,0.013800000000000034
ibm-granite/granite-4.0-h-350m@robust-r3,C2,1000,0.989,0.916,0.9823809523809524,0.6266666666666667,0.37333333333333335,0.8028673835125448,0.0,0.91,0.006000000000000005
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C2,1000,0.47,0.466,0.31857142857142856,0.3516666666666667,0.6483333333333333,0.14423433444568037,0.0,0.3634,0.10260000000000002
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C2,1000,0.458,0.452,0.3130952380952381,0.33666666666666667,0.6633333333333333,0.14378612716763006,0.0,0.3592,0.0928
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C2,1000,0.468,0.459,0.32,0.34833333333333333,0.6516666666666666,0.14449371766444938,0.0,0.3644,0.09460000000000002
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C2,72,0.06944444444444445,0.06944444444444445,0.07590759075907591,0.023255813953488372,0.9767441860465116,0.1253731343283582,0.0,0.18055555555555555,-0.1111111111111111
