model,ffr_c0,ffr_c2,spi_c2,ffr_c3,spi_c3,ffr_c4,few_shot_improvement_c3_minus_c4
LiquidAI/LFM2-350M-Extract,0.0,0.7316666666666667,0.7316666666666667,0.6866666666666666,0.6866666666666666,0.655,0.03166666666666662
LiquidAI/LFM2-350M-Extract@int4,0.0,0.7866666666666666,0.7866666666666666,0.72,0.72,0.6333333333333333,0.08666666666666667
LiquidAI/LFM2-350M-Extract@int8,0.0,0.7416666666666667,0.7416666666666667,0.7083333333333334,0.7083333333333334,0.65,0.05833333333333335
LiquidAI/LFM2.5-230M,0.75,0.7483333333333333,-0.0016666666666667052,0.25166666666666665,-0.49833333333333335,0.15833333333333333,0.09333333333333332
LiquidAI/LFM2.5-230M@int4,0.745,0.71,-0.03500000000000003,0.0,-0.745,0.18333333333333332,-0.18333333333333332
LiquidAI/LFM2.5-230M@int8,0.7516666666666667,0.49666666666666665,-0.25500000000000006,0.03333333333333333,-0.7183333333333334,0.18833333333333332,-0.155
LiquidAI/LFM2.5-350M,0.7183333333333334,0.7633333333333333,0.04499999999999993,0.725,0.006666666666666599,0.6316666666666667,0.09333333333333327
LiquidAI/LFM2.5-350M@int4,0.73,0.8633333333333333,0.1333333333333333,0.19333333333333333,-0.5366666666666666,0.10166666666666667,0.09166666666666666
LiquidAI/LFM2.5-350M@int8,0.6883333333333334,0.76,0.07166666666666666,0.67,-0.018333333333333313,0.6316666666666667,0.03833333333333333
Qwen/Qwen3-0.6B,0.21666666666666667,0.7016666666666667,0.485,0.07166666666666667,-0.14500000000000002,0.5333333333333333,-0.46166666666666667
Qwen/Qwen3-0.6B@int4,0.19166666666666668,0.6833333333333333,0.4916666666666667,0.03166666666666667,-0.16,0.5766666666666667,-0.545
Qwen/Qwen3-0.6B@int8,0.23,0.7116666666666667,0.4816666666666667,0.07833333333333334,-0.15166666666666667,0.54,-0.46166666666666667
Qwen/Qwen3.5-0.8B,0.2866666666666667,0.7083333333333334,0.4216666666666667,0.44,0.15333333333333332,0.3283333333333333,0.11166666666666669
google/functiongemma-270m-it,0.5316666666666666,0.0,-0.5316666666666666,0.0,-0.5316666666666666,0.09833333333333333,-0.09833333333333333
google/functiongemma-270m-it@int4,0.63,0.0016666666666666668,-0.6283333333333333,0.0,-0.63,0.31333333333333335,-0.31333333333333335
google/functiongemma-270m-it@int8,0.5916666666666667,0.0,-0.5916666666666667,0.0,-0.5916666666666667,0.2966666666666667,-0.2966666666666667
ibm-granite/granite-4.0-350m,0.62,0.8116666666666666,0.19166666666666665,0.47833333333333333,-0.14166666666666666,0.5166666666666667,-0.038333333333333386
ibm-granite/granite-4.0-h-350m,0.39,0.645,0.255,0.38166666666666665,-0.00833333333333336,0.44666666666666666,-0.065
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,0.875,0.35,-0.525,0.205,-0.67,0.07166666666666667,0.1333333333333333
tiiuae/Falcon-H1-Tiny-R-0.6B,0.07,0.02,-0.05,0.0016666666666666668,-0.06833333333333334,0.0033333333333333335,-0.0016666666666666668
