model,n_examples,n_gold_null_c0,ffr_c0,ffr_c2,spi_c2,spi_c2_ci_lo,spi_c2_ci_hi,spi_c2_significant_positive,ffr_c3,spi_c3,spi_c3_ci_lo,spi_c3_ci_hi,spi_c3_significant_positive,n_bootstrap,seed
LiquidAI/LFM2-350M-Extract,1000,600,0.0,0.7316666666666667,0.7316666666666667,0.6957928802588996,0.7668918918918919,True,0.6866666666666666,0.6866666666666666,0.6486905969284266,0.7241963768878598,True,10000,12345
LiquidAI/LFM2-350M-Extract@int4,1000,600,0.0,0.7866666666666666,0.7866666666666666,0.7529610829103215,0.8184767715838361,True,0.72,0.72,0.6836902800658978,0.7556735473349927,True,10000,12345
LiquidAI/LFM2-350M-Extract@int8,1000,600,0.0,0.7416666666666667,0.7416666666666667,0.706081081081081,0.7751287687364943,True,0.7083333333333334,0.7083333333333334,0.6710743801652893,0.743801652892562,True,10000,12345
LiquidAI/LFM2.5-230M,1000,600,0.75,0.7483333333333333,-0.0016666666666667052,-0.005154639175257714,0.0,False,0.25166666666666665,-0.49833333333333335,-0.538972382455142,-0.45869750318162533,False,10000,12345
LiquidAI/LFM2.5-230M@int4,1000,600,0.745,0.71,-0.03500000000000003,-0.06125827814569529,-0.008517525408800672,False,0.0,-0.745,-0.7796915037273577,-0.709885285756038,False,10000,12345
LiquidAI/LFM2.5-230M@int8,1000,600,0.7516666666666667,0.49666666666666665,-0.25500000000000006,-0.2907568985040825,-0.22033898305084743,False,0.03333333333333333,-0.7183333333333334,-0.7549668874172185,-0.6818181818181819,False,10000,12345
LiquidAI/LFM2.5-350M,1000,600,0.7183333333333334,0.7633333333333333,0.04499999999999993,0.00519008731197444,0.08525821714774524,True,0.725,0.006666666666666599,-0.02725840305597388,0.04085057788021507,False,10000,12345
LiquidAI/LFM2.5-350M@int4,1000,600,0.73,0.8633333333333333,0.1333333333333333,0.10243677361270255,0.16474511611406883,True,0.19333333333333333,-0.5366666666666666,-0.5770491803278689,-0.4958537180983601,False,10000,12345
LiquidAI/LFM2.5-350M@int8,1000,600,0.6883333333333334,0.76,0.07166666666666666,0.03333194675540765,0.1103684359119142,True,0.67,-0.018333333333333313,-0.05555555555555547,0.01916390221638405,False,10000,12345
Qwen/Qwen3-0.6B,1000,600,0.21666666666666667,0.7016666666666667,0.485,0.4439018168242907,0.52428810720268,True,0.07166666666666667,-0.14500000000000002,-0.17355544364574563,-0.11783960720130933,False,10000,12345
Qwen/Qwen3-0.6B@int4,1000,600,0.19166666666666668,0.6833333333333333,0.4916666666666667,0.4517213570634038,0.5312025719120135,True,0.03166666666666667,-0.16,-0.18945766675865608,-0.1315311886687118,False,10000,12345
Qwen/Qwen3-0.6B@int8,1000,600,0.23,0.7116666666666667,0.4816666666666667,0.44221105527638194,0.5219594594594594,True,0.07833333333333334,-0.15166666666666667,-0.1805792163543441,-0.12353923205342236,False,10000,12345
Qwen/Qwen3.5-0.8B,1000,600,0.2866666666666667,0.7083333333333334,0.4216666666666667,0.3820588674455933,0.46154166666666663,True,0.44,0.15333333333333332,0.11129289636238847,0.19508296681327467,True,10000,12345
google/functiongemma-270m-it,1000,600,0.5316666666666666,0.0,-0.5316666666666666,-0.571434322521279,-0.4914615891263997,False,0.0,-0.5316666666666666,-0.57166392092257,-0.49166666666666664,False,10000,12345
google/functiongemma-270m-it@int4,1000,600,0.63,0.0016666666666666668,-0.6283333333333333,-0.6666666666666666,-0.5881408898305085,False,0.0,-0.63,-0.6677797727756551,-0.5911311698691809,False,10000,12345
google/functiongemma-270m-it@int8,1000,600,0.5916666666666667,0.0,-0.5916666666666667,-0.6309735556439243,-0.5514330157989786,False,0.0,-0.5916666666666667,-0.6306156405990017,-0.5518394648829431,False,10000,12345
ibm-granite/granite-4.0-350m,1000,600,0.62,0.8116666666666666,0.19166666666666665,0.1610292211617768,0.2242532620326848,True,0.47833333333333333,-0.14166666666666666,-0.18211920529801323,-0.10180623973727426,False,10000,12345
ibm-granite/granite-4.0-h-350m,1000,600,0.39,0.645,0.255,0.2161290322580645,0.29441856634880953,True,0.38166666666666665,-0.00833333333333336,-0.03900752464971458,0.021923354108746174,False,10000,12345
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,1000,600,0.875,0.35,-0.525,-0.5697870017913123,-0.4784035882701797,False,0.205,-0.67,-0.7094608694671298,-0.6293823038397329,False,10000,12345
tiiuae/Falcon-H1-Tiny-R-0.6B,1000,600,0.07,0.02,-0.05,-0.07313028870084619,-0.027303754266211608,False,0.0016666666666666668,-0.06833333333333334,-0.0897676920834845,-0.048412653789707105,False,10000,12345
