model,condition,n_outputs,json_parse_rate,schema_validity_rate,supported_accuracy,false_fill_rate,null_recall,abstention_precision,distractor_error_rate,field_faithfulness_rate,format_truth_gap
LiquidAI/LFM2-350M-Extract,C0,1000,,,0.0,0.0,1.0,0.12002400480096019,0.0,0.12,
LiquidAI/LFM2-350M-Extract,C1,1000,0.991,0.279,0.9402380952380952,0.7416666666666667,0.25833333333333336,0.47987616099071206,0.01,0.8558,-0.5768
LiquidAI/LFM2-350M-Extract,C2,1000,0.987,0.54,0.940952380952381,0.7316666666666667,0.2683333333333333,0.5078864353312302,0.01,0.858,-0.31799999999999995
LiquidAI/LFM2-350M-Extract,C3,1000,0.989,0.638,0.9595238095238096,0.6866666666666666,0.31333333333333335,0.704119850187266,0.015,0.879,-0.241
LiquidAI/LFM2-350M-Extract,C4,1000,0.919,0.01,0.5961904761904762,0.655,0.345,0.1558734939759036,0.02,0.562,-0.552
LiquidAI/LFM2-350M-Extract,C5,1000,1.0,1.0,0.9745238095238096,0.6916666666666667,0.30833333333333335,0.9893048128342246,0.015,0.8932,0.1068
LiquidAI/LFM2-350M-Extract@int4,C0,1000,,,0.0,0.0,1.0,0.12,0.0,0.12,
LiquidAI/LFM2-350M-Extract@int4,C1,1000,0.998,0.599,0.96,0.8283333333333334,0.17166666666666666,0.911504424778761,0.015,0.8636,-0.26460000000000006
LiquidAI/LFM2-350M-Extract@int4,C2,1000,1.0,0.673,0.9602380952380952,0.7866666666666666,0.21333333333333335,0.9552238805970149,0.015,0.869,-0.19599999999999995
LiquidAI/LFM2-350M-Extract@int4,C3,1000,0.997,0.749,0.9614285714285714,0.72,0.28,0.9032258064516129,0.01,0.8784,-0.12939999999999996
LiquidAI/LFM2-350M-Extract@int4,C4,1000,0.833,0.007,0.5514285714285714,0.6333333333333333,0.36666666666666664,0.17309205350118018,0.01,0.5286,-0.5216
LiquidAI/LFM2-350M-Extract@int8,C0,1000,,,0.0,0.0,1.0,0.12,0.0,0.12,
LiquidAI/LFM2-350M-Extract@int8,C1,1000,0.984,0.354,0.9135714285714286,0.7066666666666667,0.29333333333333333,0.3851203501094092,0.01,0.837,-0.483
LiquidAI/LFM2-350M-Extract@int8,C2,1000,0.994,0.561,0.9530952380952381,0.7416666666666667,0.25833333333333336,0.603112840466926,0.025,0.8672,-0.3061999999999999
LiquidAI/LFM2-350M-Extract@int8,C3,1000,0.989,0.649,0.9585714285714285,0.7083333333333334,0.2916666666666667,0.6972111553784861,0.015,0.8764,-0.22739999999999994
LiquidAI/LFM2-350M-Extract@int8,C4,1000,0.887,0.011,0.5726190476190476,0.65,0.35,0.14757554462403374,0.01,0.542,-0.531
LiquidAI/LFM2.5-230M,C0,1000,,,0.9802380952380952,0.75,0.25,0.9933774834437086,0.0,0.8926,
LiquidAI/LFM2.5-230M,C1,1000,1.0,0.948,0.9583333333333334,0.7483333333333333,0.25166666666666665,1.0,0.0,0.8706,0.07739999999999991
LiquidAI/LFM2.5-230M,C2,1000,0.992,0.944,0.9621428571428572,0.7483333333333333,0.25166666666666665,0.7905759162303665,0.005,0.873,0.07099999999999995
LiquidAI/LFM2.5-230M,C3,1000,0.547,0.547,0.5545238095238095,0.25166666666666665,0.7483333333333333,0.19138959931798807,0.0,0.5776,-0.03059999999999996
LiquidAI/LFM2.5-230M,C4,1000,0.409,0.21,0.310952380952381,0.15833333333333333,0.8416666666666667,0.14326241134751774,0.0,0.3768,-0.16680000000000003
LiquidAI/LFM2.5-230M,C5,1000,1.0,1.0,0.9788095238095238,0.7166666666666667,0.2833333333333333,1.0,0.0,0.8946,0.10540000000000005
LiquidAI/LFM2.5-230M@int4,C0,1000,,,0.9521428571428572,0.745,0.255,0.884393063583815,0.01,0.8668,
LiquidAI/LFM2.5-230M@int4,C1,1000,0.931,0.9,0.8952380952380953,0.7283333333333334,0.27166666666666667,0.3381742738589212,0.005,0.8198,0.08020000000000005
LiquidAI/LFM2.5-230M@int4,C2,1000,0.92,0.704,0.845,0.71,0.29,0.24645892351274787,0.0,0.7728,-0.06880000000000008
LiquidAI/LFM2.5-230M@int4,C3,1000,0.0,0.0,0.0,0.0,1.0,0.12,0.0,0.12,-0.12
LiquidAI/LFM2.5-230M@int4,C4,1000,0.349,0.199,0.2319047619047619,0.18333333333333332,0.8166666666666667,0.12589928057553956,0.005,0.2968,-0.0978
LiquidAI/LFM2.5-230M@int8,C0,1000,,,0.9795238095238096,0.7516666666666667,0.24833333333333332,1.0,0.0,0.8926,
LiquidAI/LFM2.5-230M@int8,C1,1000,1.0,0.956,0.9657142857142857,0.7483333333333333,0.25166666666666665,1.0,0.01,0.8774,0.0786
LiquidAI/LFM2.5-230M@int8,C2,1000,0.518,0.515,0.49,0.49666666666666665,0.5033333333333333,0.1217741935483871,0.015,0.4874,0.027600000000000013
LiquidAI/LFM2.5-230M@int8,C3,1000,0.067,0.067,0.06642857142857143,0.03333333333333333,0.9666666666666667,0.12401111823818688,0.005,0.175,-0.10799999999999998
LiquidAI/LFM2.5-230M@int8,C4,1000,0.367,0.217,0.2947619047619048,0.18833333333333332,0.8116666666666666,0.13557906458797328,0.01,0.3558,-0.1388
LiquidAI/LFM2.5-350M,C0,1000,,,0.8909523809523809,0.7183333333333334,0.2816666666666667,0.9825581395348837,0.065,0.8166,
LiquidAI/LFM2.5-350M,C1,1000,1.0,0.909,0.9973809523809524,0.7466666666666667,0.25333333333333335,1.0,0.005,0.908,0.0010000000000000009
LiquidAI/LFM2.5-350M,C2,1000,0.991,0.9,0.9897619047619047,0.7633333333333333,0.23666666666666666,0.797752808988764,0.0,0.8998,0.00019999999999997797
LiquidAI/LFM2.5-350M,C3,1000,1.0,1.0,0.9988095238095238,0.725,0.275,1.0,0.0,0.912,0.08799999999999997
LiquidAI/LFM2.5-350M,C4,1000,1.0,0.721,0.8914285714285715,0.6316666666666667,0.36833333333333335,0.33083832335329344,0.02,0.8322,-0.11120000000000008
LiquidAI/LFM2.5-350M,C5,1000,1.0,1.0,0.9988095238095238,0.73,0.27,1.0,0.0,0.9114,0.08860000000000001
LiquidAI/LFM2.5-350M@int4,C0,1000,,,0.9285714285714286,0.73,0.27,0.8709677419354839,0.025,0.85,
LiquidAI/LFM2.5-350M@int4,C1,1000,1.0,0.955,0.9840476190476191,0.7766666666666666,0.22333333333333333,1.0,0.0,0.8928,0.06219999999999992
LiquidAI/LFM2.5-350M@int4,C2,1000,0.991,0.894,0.9859523809523809,0.8633333333333333,0.13666666666666666,0.6949152542372882,0.0,0.8844,0.009600000000000053
LiquidAI/LFM2.5-350M@int4,C3,1000,0.515,0.513,0.5254761904761904,0.19333333333333333,0.8066666666666666,0.19942315615986814,0.0,0.5768,-0.06379999999999997
